val_loss	val_accuracy	loss	accuracy
3.2645	0.4589	0.5268	0.8157
3.2374	0.4639	0.5275	0.8158
3.2826	0.4610	0.5218	0.8154
3.2517	0.4615	0.5275	0.8140
3.2710	0.4627	0.5234	0.8160
3.2462	0.4647	0.5219	0.8167
3.2897	0.4666	0.5167	0.8192
3.3061	0.4612	0.5208	0.8173
3.3040	0.4665	0.5256	0.8145
3.3528	0.4669	0.5072	0.8230
3.3585	0.4597	0.5174	0.8174
3.2852	0.4635	0.5227	0.8169
3.3362	0.4636	0.5106	0.8220
3.3674	0.4604	0.5169	0.8188
3.3530	0.4597	0.5065	0.8230
3.3491	0.4602	0.5167	0.8181
3.3759	0.4610	0.5052	0.8226
3.4023	0.4592	0.5151	0.8199
3.4075	0.4623	0.5095	0.8217
3.4071	0.4594	0.5057	0.8230
3.4124	0.4591	0.5041	0.8222
3.4283	0.4610	0.5066	0.8208
3.4408	0.4599	0.4972	0.8259
3.4270	0.4598	0.5024	0.8232
3.4617	0.4592	0.5006	0.8251
3.4579	0.4533	0.4943	0.8274
3.4850	0.4598	0.5030	0.8234
3.4895	0.4589	0.4944	0.8267
3.5288	0.4558	0.4922	0.8271
3.4729	0.4598	0.4939	0.8273
3.5788	0.4638	0.4973	0.8269
3.4965	0.4569	0.4906	0.8266
3.5315	0.4608	0.4884	0.8285
3.5199	0.4566	0.4900	0.8266
3.5245	0.4576	0.4893	0.8287
3.6083	0.4609	0.4854	0.8290
3.5880	0.4624	0.4842	0.8311
3.5713	0.4584	0.4888	0.8284
3.5837	0.4583	0.4834	0.8299
3.5956	0.4603	0.4822	0.8309
3.5988	0.4562	0.4809	0.8309
3.5973	0.4613	0.4830	0.8302
3.6593	0.4579	0.4757	0.8330
3.6687	0.4568	0.4798	0.8306
3.6645	0.4615	0.4752	0.8338
3.6863	0.4558	0.4789	0.8321
3.6303	0.4651	0.4720	0.8330
3.6828	0.4598	0.4770	0.8321
3.7176	0.4570	0.4758	0.8321
3.7168	0.4618	0.4761	0.8317
3.7226	0.4571	0.4658	0.8370
3.6972	0.4580	0.4691	0.8360
3.6795	0.4558	0.4754	0.8341
3.7300	0.4536	0.4626	0.8369
3.7843	0.4552	0.4683	0.8346
3.7876	0.4557	0.4653	0.8375
3.7567	0.4567	0.4633	0.8391
3.7241	0.4586	0.4673	0.8360
3.7975	0.4576	0.4645	0.8369
3.7502	0.4560	0.4633	0.8375
3.8165	0.4568	0.4603	0.8393
3.8336	0.4603	0.4581	0.8385
3.7598	0.4574	0.4626	0.8366
3.8251	0.4524	0.4560	0.8407
3.8472	0.4578	0.4528	0.8407
3.8234	0.4575	0.4677	0.8372
3.8809	0.4550	0.4560	0.8407
3.8539	0.4572	0.4560	0.8405
3.8982	0.4590	0.4492	0.8432
3.9337	0.4629	0.4596	0.8382
3.9063	0.4547	0.4442	0.8440
3.9369	0.4549	0.4595	0.8378
3.9574	0.4547	0.4442	0.8452
3.9123	0.4614	0.4551	0.8431
3.9934	0.4568	0.4510	0.8420
3.9371	0.4560	0.4443	0.8444
3.9451	0.4602	0.4404	0.8460
3.9193	0.4614	0.4494	0.8420
3.9622	0.4532	0.4441	0.8447
3.9801	0.4563	0.4428	0.8440
3.9732	0.4598	0.4413	0.8450
3.9818	0.4599	0.4399	0.8449
3.9684	0.4574	0.4392	0.8463
4.0391	0.4565	0.4426	0.8456
4.0722	0.4554	0.4391	0.8455
3.9908	0.4612	0.4387	0.8484
4.0037	0.4530	0.4329	0.8498
