val_loss	val_accuracy	loss	accuracy
2.2358	0.4968	0.5745	0.7963
2.2725	0.4980	0.5651	0.7998
2.2739	0.4928	0.5657	0.7983
2.3020	0.4910	0.5620	0.7998
2.3175	0.4918	0.5564	0.8049
2.4358	0.4791	0.5535	0.8027
2.3181	0.4988	0.5544	0.8040
2.4357	0.4799	0.5486	0.8071
2.3117	0.4981	0.5471	0.8048
2.4399	0.4928	0.5443	0.8091
2.4139	0.4903	0.5461	0.8068
2.3860	0.4992	0.5389	0.8083
2.4893	0.4912	0.5394	0.8078
2.4168	0.4960	0.5361	0.8093
2.4041	0.4986	0.5391	0.8082
2.3687	0.4920	0.5450	0.8083
2.4543	0.4838	0.5290	0.8137
2.4327	0.4939	0.5305	0.8143
2.4426	0.4933	0.5247	0.8139
2.4716	0.5039	0.5233	0.8160
2.5032	0.4901	0.5189	0.8173
2.4621	0.4945	0.5209	0.8140
2.5330	0.4926	0.5162	0.8186
2.5223	0.4880	0.5174	0.8164
2.5398	0.4915	0.5142	0.8183
2.5146	0.4966	0.5103	0.8195
2.5197	0.4943	0.5142	0.8169
2.5138	0.4934	0.5085	0.8171
2.5437	0.4887	0.5075	0.8203
2.5362	0.4994	0.5042	0.8221
2.5354	0.4921	0.5011	0.8212
2.5793	0.4927	0.5069	0.8189
2.5459	0.4946	0.5024	0.8226
2.6088	0.4944	0.4925	0.8253
2.6173	0.4959	0.4942	0.8237
2.5868	0.4923	0.4951	0.8247
2.6217	0.4890	0.4874	0.8264
2.6195	0.4896	0.4891	0.8260
2.6831	0.4901	0.4880	0.8272
2.6503	0.4883	0.4841	0.8302
2.7254	0.4950	0.4791	0.8306
2.6689	0.4913	0.4838	0.8279
2.7334	0.4923	0.4782	0.8310
2.7392	0.4866	0.4738	0.8328
2.7926	0.4821	0.4756	0.8319
2.7843	0.4931	0.4720	0.8318
2.7286	0.4926	0.4713	0.8332
2.8035	0.4920	0.4707	0.8336
3.0045	0.4711	0.4805	0.8288
2.7723	0.4907	0.4655	0.8360
2.8379	0.4921	0.4559	0.8389
2.8140	0.4857	0.4652	0.8342
2.7627	0.4895	0.4632	0.8355
2.8364	0.4849	0.4632	0.8357
